minecraft:missingno	x=66	y=0	w=16	h=16
minecraft:trims/entity/humanoid/rib_gold	x=644	y=136	w=64	h=32
minecraft:trims/entity/humanoid/rib_gold_darker	x=644	y=170	w=64	h=32
minecraft:trims/entity/humanoid/rib_iron	x=644	y=204	w=64	h=32
minecraft:trims/entity/humanoid/rib_iron_darker	x=644	y=238	w=64	h=32
minecraft:trims/entity/humanoid/rib_lapis	x=644	y=272	w=64	h=32
minecraft:trims/entity/humanoid/rib_netherite	x=644	y=306	w=64	h=32
minecraft:trims/entity/humanoid/rib_netherite_darker	x=644	y=340	w=64	h=32
minecraft:trims/entity/humanoid/rib_quartz	x=644	y=374	w=64	h=32
minecraft:trims/entity/humanoid/rib_redstone	x=644	y=408	w=64	h=32
minecraft:trims/entity/humanoid/rib_resin	x=644	y=442	w=64	h=32
minecraft:trims/entity/humanoid/sentry_amethyst	x=644	y=476	w=64	h=32
minecraft:trims/entity/humanoid/sentry_copper	x=710	y=0	w=64	h=32
minecraft:trims/entity/humanoid/sentry_copper_darker	x=710	y=34	w=64	h=32
minecraft:trims/entity/humanoid/sentry_diamond	x=710	y=68	w=64	h=32
minecraft:trims/entity/humanoid/sentry_diamond_darker	x=710	y=102	w=64	h=32
minecraft:trims/entity/humanoid/sentry_emerald	x=710	y=136	w=64	h=32
minecraft:trims/entity/humanoid/sentry_gold	x=710	y=170	w=64	h=32
minecraft:trims/entity/humanoid/sentry_gold_darker	x=710	y=204	w=64	h=32
minecraft:trims/entity/humanoid/sentry_iron	x=710	y=238	w=64	h=32
minecraft:trims/entity/humanoid/sentry_iron_darker	x=710	y=272	w=64	h=32
minecraft:trims/entity/humanoid/sentry_lapis	x=710	y=306	w=64	h=32
minecraft:trims/entity/humanoid/sentry_netherite	x=710	y=340	w=64	h=32
minecraft:trims/entity/humanoid/sentry_netherite_darker	x=710	y=374	w=64	h=32
minecraft:trims/entity/humanoid/sentry_quartz	x=710	y=408	w=64	h=32
minecraft:trims/entity/humanoid/sentry_redstone	x=710	y=442	w=64	h=32
minecraft:trims/entity/humanoid/sentry_resin	x=710	y=476	w=64	h=32
minecraft:trims/entity/humanoid/shaper_amethyst	x=776	y=0	w=64	h=32
minecraft:trims/entity/humanoid/shaper_copper	x=776	y=34	w=64	h=32
minecraft:trims/entity/humanoid/shaper_copper_darker	x=776	y=68	w=64	h=32
minecraft:trims/entity/humanoid/shaper_diamond	x=776	y=102	w=64	h=32
minecraft:trims/entity/humanoid/shaper_diamond_darker	x=776	y=136	w=64	h=32
minecraft:trims/entity/humanoid/shaper_emerald	x=776	y=170	w=64	h=32
minecraft:trims/entity/humanoid/shaper_gold	x=776	y=204	w=64	h=32
minecraft:trims/entity/humanoid/shaper_gold_darker	x=776	y=238	w=64	h=32
minecraft:trims/entity/humanoid/shaper_iron	x=776	y=272	w=64	h=32
minecraft:trims/entity/humanoid/shaper_iron_darker	x=776	y=306	w=64	h=32
minecraft:trims/entity/humanoid/shaper_lapis	x=776	y=340	w=64	h=32
minecraft:trims/entity/humanoid/shaper_netherite	x=776	y=374	w=64	h=32
minecraft:trims/entity/humanoid/shaper_netherite_darker	x=776	y=408	w=64	h=32
minecraft:trims/entity/humanoid/shaper_quartz	x=776	y=442	w=64	h=32
minecraft:trims/entity/humanoid/shaper_redstone	x=776	y=476	w=64	h=32
minecraft:trims/entity/humanoid/shaper_resin	x=842	y=0	w=64	h=32
minecraft:trims/entity/humanoid/silence_amethyst	x=842	y=34	w=64	h=32
minecraft:trims/entity/humanoid/silence_copper	x=842	y=68	w=64	h=32
minecraft:trims/entity/humanoid/silence_copper_darker	x=842	y=102	w=64	h=32
minecraft:trims/entity/humanoid/silence_diamond	x=842	y=136	w=64	h=32
minecraft:trims/entity/humanoid/silence_diamond_darker	x=842	y=170	w=64	h=32
minecraft:trims/entity/humanoid/silence_emerald	x=842	y=204	w=64	h=32
minecraft:trims/entity/humanoid/silence_gold	x=842	y=238	w=64	h=32
minecraft:trims/entity/humanoid/silence_gold_darker	x=842	y=272	w=64	h=32
minecraft:trims/entity/humanoid/silence_iron	x=842	y=306	w=64	h=32
minecraft:trims/entity/humanoid/silence_iron_darker	x=842	y=340	w=64	h=32
minecraft:trims/entity/humanoid/silence_lapis	x=842	y=374	w=64	h=32
minecraft:trims/entity/humanoid/silence_netherite	x=842	y=408	w=64	h=32
minecraft:trims/entity/humanoid/silence_netherite_darker	x=842	y=442	w=64	h=32
minecraft:trims/entity/humanoid/silence_quartz	x=842	y=476	w=64	h=32
minecraft:trims/entity/humanoid/silence_redstone	x=908	y=0	w=64	h=32
minecraft:trims/entity/humanoid/silence_resin	x=908	y=34	w=64	h=32
minecraft:trims/entity/humanoid/snout_amethyst	x=908	y=68	w=64	h=32
minecraft:trims/entity/humanoid/snout_copper	x=908	y=102	w=64	h=32
minecraft:trims/entity/humanoid/snout_copper_darker	x=908	y=136	w=64	h=32
minecraft:trims/entity/humanoid/snout_diamond	x=908	y=170	w=64	h=32
minecraft:trims/entity/humanoid/snout_diamond_darker	x=908	y=204	w=64	h=32
minecraft:trims/entity/humanoid/snout_emerald	x=908	y=238	w=64	h=32
minecraft:trims/entity/humanoid/snout_gold	x=908	y=272	w=64	h=32
minecraft:trims/entity/humanoid/snout_gold_darker	x=908	y=306	w=64	h=32
minecraft:trims/entity/humanoid/snout_iron	x=908	y=340	w=64	h=32
minecraft:trims/entity/humanoid/snout_iron_darker	x=908	y=374	w=64	h=32
minecraft:trims/entity/humanoid/snout_lapis	x=908	y=408	w=64	h=32
minecraft:trims/entity/humanoid/snout_netherite	x=908	y=442	w=64	h=32
minecraft:trims/entity/humanoid/snout_netherite_darker	x=908	y=476	w=64	h=32
minecraft:trims/entity/humanoid/snout_quartz	x=0	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_redstone	x=66	y=512	w=64	h=32
minecraft:trims/entity/humanoid/snout_resin	x=132	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_amethyst	x=198	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_copper	x=264	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_copper_darker	x=330	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_diamond	x=396	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_diamond_darker	x=462	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_emerald	x=528	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_gold	x=594	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_gold_darker	x=660	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_iron	x=726	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_iron_darker	x=792	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_lapis	x=858	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_netherite	x=924	y=512	w=64	h=32
minecraft:trims/entity/humanoid/spire_netherite_darker	x=0	y=546	w=64	h=32
minecraft:trims/entity/humanoid/spire_quartz	x=66	y=546	w=64	h=32
minecraft:trims/entity/humanoid/spire_redstone	x=132	y=546	w=64	h=32
minecraft:trims/entity/humanoid/spire_resin	x=198	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_amethyst	x=264	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_copper	x=330	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_copper_darker	x=396	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_diamond	x=462	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_diamond_darker	x=528	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_emerald	x=594	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_gold	x=660	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_gold_darker	x=726	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_iron	x=792	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_iron_darker	x=858	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_lapis	x=924	y=546	w=64	h=32
minecraft:trims/entity/humanoid/tide_netherite	x=0	y=580	w=64	h=32
minecraft:trims/entity/humanoid/tide_netherite_darker	x=66	y=580	w=64	h=32
minecraft:trims/entity/humanoid/tide_quartz	x=132	y=580	w=64	h=32
minecraft:trims/entity/humanoid/tide_redstone	x=198	y=580	w=64	h=32
minecraft:trims/entity/humanoid/tide_resin	x=264	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_amethyst	x=330	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_copper	x=396	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_copper_darker	x=462	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_diamond	x=528	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_diamond_darker	x=594	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_emerald	x=660	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_gold	x=726	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_gold_darker	x=792	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_iron	x=858	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_iron_darker	x=924	y=580	w=64	h=32
minecraft:trims/entity/humanoid/vex_lapis	x=0	y=614	w=64	h=32
minecraft:trims/entity/humanoid/vex_netherite	x=66	y=614	w=64	h=32
minecraft:trims/entity/humanoid/vex_netherite_darker	x=132	y=614	w=64	h=32
minecraft:trims/entity/humanoid/vex_quartz	x=198	y=614	w=64	h=32
minecraft:trims/entity/humanoid/vex_redstone	x=264	y=614	w=64	h=32
minecraft:trims/entity/humanoid/vex_resin	x=330	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_amethyst	x=396	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_copper	x=462	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_copper_darker	x=528	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_diamond	x=594	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_diamond_darker	x=660	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_emerald	x=726	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_gold	x=792	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_gold_darker	x=858	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_iron	x=924	y=614	w=64	h=32
minecraft:trims/entity/humanoid/ward_iron_darker	x=0	y=648	w=64	h=32
minecraft:trims/entity/humanoid/ward_lapis	x=66	y=648	w=64	h=32
minecraft:trims/entity/humanoid/ward_netherite	x=132	y=648	w=64	h=32
minecraft:trims/entity/humanoid/ward_netherite_darker	x=198	y=648	w=64	h=32
minecraft:trims/entity/humanoid/ward_quartz	x=264	y=648	w=64	h=32
minecraft:trims/entity/humanoid/ward_redstone	x=330	y=648	w=64	h=32
minecraft:trims/entity/humanoid/ward_resin	x=396	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_amethyst	x=462	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_copper	x=528	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_copper_darker	x=594	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_diamond	x=660	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_diamond_darker	x=726	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_emerald	x=792	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_gold	x=858	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_gold_darker	x=924	y=648	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_iron	x=0	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_iron_darker	x=66	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_lapis	x=132	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_netherite	x=198	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_netherite_darker	x=264	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_quartz	x=330	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_redstone	x=396	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wayfinder_resin	x=462	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_amethyst	x=528	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_copper	x=594	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_copper_darker	x=660	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_diamond	x=726	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_diamond_darker	x=792	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_emerald	x=858	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_gold	x=924	y=682	w=64	h=32
minecraft:trims/entity/humanoid/wild_gold_darker	x=0	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_iron	x=66	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_iron_darker	x=132	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_lapis	x=198	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_netherite	x=264	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_netherite_darker	x=330	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_quartz	x=396	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_redstone	x=462	y=716	w=64	h=32
minecraft:trims/entity/humanoid/wild_resin	x=528	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_amethyst	x=594	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_copper	x=660	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_copper_darker	x=726	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_diamond	x=792	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_diamond_darker	x=858	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_emerald	x=924	y=716	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_gold	x=0	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_gold_darker	x=66	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_iron	x=132	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_iron_darker	x=198	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_lapis	x=264	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_netherite	x=330	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_netherite_darker	x=396	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_quartz	x=462	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_redstone	x=528	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/bolt_resin	x=594	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_amethyst	x=660	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_copper	x=726	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_copper_darker	x=792	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_diamond	x=858	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_diamond_darker	x=924	y=750	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_emerald	x=0	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_gold	x=66	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_gold_darker	x=132	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_iron	x=198	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_iron_darker	x=264	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_lapis	x=330	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_netherite	x=396	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_netherite_darker	x=462	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_quartz	x=528	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_redstone	x=594	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/coast_resin	x=660	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_amethyst	x=726	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_copper	x=792	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_copper_darker	x=858	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_diamond	x=924	y=784	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_diamond_darker	x=0	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_emerald	x=66	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_gold	x=132	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_gold_darker	x=198	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_iron	x=264	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_iron_darker	x=330	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_lapis	x=396	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_netherite	x=462	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_netherite_darker	x=528	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_quartz	x=594	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_redstone	x=660	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/dune_resin	x=726	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_amethyst	x=792	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_copper	x=858	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_copper_darker	x=924	y=818	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_diamond	x=0	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_diamond_darker	x=66	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_emerald	x=132	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_gold	x=198	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_gold_darker	x=264	y=852	w=64	h=32
